text,meta_chunk_type,meta_residence,meta_year,meta_contexte,meta_groupe,meta_code_h,meta_ligne,meta_row_index,meta_years,meta_trend_metadata
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2026
Contexte: Budget
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.
Ligne analytique: Loyers logements et parkings HT
Valeur annuelle: 2057395 €
",LINE_CELL,Noisy,2026.0,Budget,Chiffre d'affaire,1.1.,Loyers logements et parkings HT,1,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: Loyers logements et parkings HT
Année: 2026
Contexte utilisé: Budget
Valeur 2026: 2057395 €
Valeur 2025: 2023357 €
Variation: 1.68% vs 2025
Code Hiérarchique: 1.1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2026.0,,Chiffre d'affaire,1.1.,Loyers logements et parkings HT,1,,
"[TYPE: TREND_MULTI_YEAR]
Résidence: Noisy
Ligne: Loyers logements et parkings HT
Années: [2024, 2025, 2026]
Contexte principal trouvé: Réel
Valeurs: 2024: 2026364 €, 2025: 2023357 €, 2026: 2057395 €
Variation globale: 1.53% (2024→2026)
Code Hiérarchique: 1.1.
Groupe: Chiffre d'affaire
",TREND_MULTI_YEAR,Noisy,,,Chiffre d'affaire,1.1.,Loyers logements et parkings HT,1,"[2024, 2025, 2026]",
"[TYPE: RECOMMENDATION]
Résidence: Noisy
Années examinées: [2024, 2025, 2026]
Variation détectée (extrait trend): 1.5%
Recommandations:
- Tendance stable → maintenir le monitoring mensuel.
",RECOMMENDATION,Noisy,,,,,,1,"[2024, 2025, 2026]","{'chunk_type': 'TREND_MULTI_YEAR', 'residence': 'Noisy', 'years': [2024, 2025, 2026], 'groupe': ""Chiffre d'affaire"", 'code_h': '1.1.', 'ligne': 'Loyers logements et parkings HT', 'row_index': 1}"
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2022
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.1.
Ligne analytique: CA Locatif Estudines
Valeur annuelle: 1709962 €
",LINE_CELL,Noisy,2022.0,Réel,Chiffre d'affaire,1.1.1.,CA Locatif Estudines,2,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Locatif Estudines
Année: 2022
Contexte utilisé: Réel
Valeur 2022: 1709962 €
Valeur 2021: N/A
Variation: N/A
Code Hiérarchique: 1.1.1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2022.0,,Chiffre d'affaire,1.1.1.,CA Locatif Estudines,2,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2023
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.1.
Ligne analytique: CA Locatif Estudines
Valeur annuelle: 1903970 €
",LINE_CELL,Noisy,2023.0,Réel,Chiffre d'affaire,1.1.1.,CA Locatif Estudines,2,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Locatif Estudines
Année: 2023
Contexte utilisé: Réel
Valeur 2023: 1903970 €
Valeur 2022: 1709962 €
Variation: 11.35% vs 2022
Code Hiérarchique: 1.1.1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2023.0,,Chiffre d'affaire,1.1.1.,CA Locatif Estudines,2,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2024
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.1.
Ligne analytique: CA Locatif Estudines
Valeur annuelle: 2019099 €
",LINE_CELL,Noisy,2024.0,Réel,Chiffre d'affaire,1.1.1.,CA Locatif Estudines,2,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Locatif Estudines
Année: 2024
Contexte utilisé: Réel
Valeur 2024: 2019099 €
Valeur 2023: 1903970 €
Variation: 6.05% vs 2023
Code Hiérarchique: 1.1.1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2024.0,,Chiffre d'affaire,1.1.1.,CA Locatif Estudines,2,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2025
Contexte: Prévision
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.1.
Ligne analytique: CA Locatif Estudines
Valeur annuelle: 2017043 €
",LINE_CELL,Noisy,2025.0,Prévision,Chiffre d'affaire,1.1.1.,CA Locatif Estudines,2,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Locatif Estudines
Année: 2025
Contexte utilisé: Prévision
Valeur 2025: 2017043 €
Valeur 2024: 2019099 €
Variation: -0.10% vs 2024
Code Hiérarchique: 1.1.1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2025.0,,Chiffre d'affaire,1.1.1.,CA Locatif Estudines,2,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2026
Contexte: Budget
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.1.
Ligne analytique: CA Locatif Estudines
Valeur annuelle: 2050195 €
",LINE_CELL,Noisy,2026.0,Budget,Chiffre d'affaire,1.1.1.,CA Locatif Estudines,2,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Locatif Estudines
Année: 2026
Contexte utilisé: Budget
Valeur 2026: 2050195 €
Valeur 2025: 2017043 €
Variation: 1.64% vs 2025
Code Hiérarchique: 1.1.1.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2026.0,,Chiffre d'affaire,1.1.1.,CA Locatif Estudines,2,,
"[TYPE: TREND_MULTI_YEAR]
Résidence: Noisy
Ligne: CA Locatif Estudines
Années: [2024, 2025, 2026]
Contexte principal trouvé: Réel
Valeurs: 2024: 2019099 €, 2025: 2017043 €, 2026: 2050195 €
Variation globale: 1.54% (2024→2026)
Code Hiérarchique: 1.1.1.
Groupe: Chiffre d'affaire
",TREND_MULTI_YEAR,Noisy,,,Chiffre d'affaire,1.1.1.,CA Locatif Estudines,2,"[2024, 2025, 2026]",
"[TYPE: RECOMMENDATION]
Résidence: Noisy
Années examinées: [2024, 2025, 2026]
Variation détectée (extrait trend): 1.5%
Recommandations:
- Tendance stable → maintenir le monitoring mensuel.
",RECOMMENDATION,Noisy,,,,,,2,"[2024, 2025, 2026]","{'chunk_type': 'TREND_MULTI_YEAR', 'residence': 'Noisy', 'years': [2024, 2025, 2026], 'groupe': ""Chiffre d'affaire"", 'code_h': '1.1.1.', 'ligne': 'CA Locatif Estudines', 'row_index': 2}"
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2022
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.4.
Ligne analytique: CA Locatif Parkings
Valeur annuelle: 5782 €
",LINE_CELL,Noisy,2022.0,Réel,Chiffre d'affaire,1.1.4.,CA Locatif Parkings,3,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Locatif Parkings
Année: 2022
Contexte utilisé: Réel
Valeur 2022: 5782 €
Valeur 2021: N/A
Variation: N/A
Code Hiérarchique: 1.1.4.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2022.0,,Chiffre d'affaire,1.1.4.,CA Locatif Parkings,3,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2023
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.4.
Ligne analytique: CA Locatif Parkings
Valeur annuelle: 4940 €
",LINE_CELL,Noisy,2023.0,Réel,Chiffre d'affaire,1.1.4.,CA Locatif Parkings,3,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Locatif Parkings
Année: 2023
Contexte utilisé: Réel
Valeur 2023: 4940 €
Valeur 2022: 5782 €
Variation: -14.56% vs 2022
Code Hiérarchique: 1.1.4.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2023.0,,Chiffre d'affaire,1.1.4.,CA Locatif Parkings,3,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2024
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.4.
Ligne analytique: CA Locatif Parkings
Valeur annuelle: 7265 €
",LINE_CELL,Noisy,2024.0,Réel,Chiffre d'affaire,1.1.4.,CA Locatif Parkings,3,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Locatif Parkings
Année: 2024
Contexte utilisé: Réel
Valeur 2024: 7265 €
Valeur 2023: 4940 €
Variation: 47.06% vs 2023
Code Hiérarchique: 1.1.4.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2024.0,,Chiffre d'affaire,1.1.4.,CA Locatif Parkings,3,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2025
Contexte: Prévision
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.4.
Ligne analytique: CA Locatif Parkings
Valeur annuelle: 6315 €
",LINE_CELL,Noisy,2025.0,Prévision,Chiffre d'affaire,1.1.4.,CA Locatif Parkings,3,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Locatif Parkings
Année: 2025
Contexte utilisé: Prévision
Valeur 2025: 6315 €
Valeur 2024: 7265 €
Variation: -13.08% vs 2024
Code Hiérarchique: 1.1.4.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2025.0,,Chiffre d'affaire,1.1.4.,CA Locatif Parkings,3,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2026
Contexte: Budget
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.1.4.
Ligne analytique: CA Locatif Parkings
Valeur annuelle: 7200 €
",LINE_CELL,Noisy,2026.0,Budget,Chiffre d'affaire,1.1.4.,CA Locatif Parkings,3,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Locatif Parkings
Année: 2026
Contexte utilisé: Budget
Valeur 2026: 7200 €
Valeur 2025: 6315 €
Variation: 14.01% vs 2025
Code Hiérarchique: 1.1.4.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2026.0,,Chiffre d'affaire,1.1.4.,CA Locatif Parkings,3,,
"[TYPE: TREND_MULTI_YEAR]
Résidence: Noisy
Ligne: CA Locatif Parkings
Années: [2024, 2025, 2026]
Contexte principal trouvé: Réel
Valeurs: 2024: 7265 €, 2025: 6315 €, 2026: 7200 €
Variation globale: -0.89% (2024→2026)
Code Hiérarchique: 1.1.4.
Groupe: Chiffre d'affaire
",TREND_MULTI_YEAR,Noisy,,,Chiffre d'affaire,1.1.4.,CA Locatif Parkings,3,"[2024, 2025, 2026]",
"[TYPE: RECOMMENDATION]
Résidence: Noisy
Années examinées: [2024, 2025, 2026]
Variation détectée (extrait trend): -0.9%
Recommandations:
- Tendance stable → maintenir le monitoring mensuel.
",RECOMMENDATION,Noisy,,,,,,3,"[2024, 2025, 2026]","{'chunk_type': 'TREND_MULTI_YEAR', 'residence': 'Noisy', 'years': [2024, 2025, 2026], 'groupe': ""Chiffre d'affaire"", 'code_h': '1.1.4.', 'ligne': 'CA Locatif Parkings', 'row_index': 3}"
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2022
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.2.
Ligne analytique: RECETTES ANNEXES
Valeur annuelle: 129946 €
",LINE_CELL,Noisy,2022.0,Réel,Chiffre d'affaire,1.2.,RECETTES ANNEXES,4,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: RECETTES ANNEXES
Année: 2022
Contexte utilisé: Réel
Valeur 2022: 129946 €
Valeur 2021: N/A
Variation: N/A
Code Hiérarchique: 1.2.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2022.0,,Chiffre d'affaire,1.2.,RECETTES ANNEXES,4,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2023
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.2.
Ligne analytique: RECETTES ANNEXES
Valeur annuelle: 182250 €
",LINE_CELL,Noisy,2023.0,Réel,Chiffre d'affaire,1.2.,RECETTES ANNEXES,4,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: RECETTES ANNEXES
Année: 2023
Contexte utilisé: Réel
Valeur 2023: 182250 €
Valeur 2022: 129946 €
Variation: 40.25% vs 2022
Code Hiérarchique: 1.2.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2023.0,,Chiffre d'affaire,1.2.,RECETTES ANNEXES,4,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2024
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.2.
Ligne analytique: RECETTES ANNEXES
Valeur annuelle: 203148 €
",LINE_CELL,Noisy,2024.0,Réel,Chiffre d'affaire,1.2.,RECETTES ANNEXES,4,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: RECETTES ANNEXES
Année: 2024
Contexte utilisé: Réel
Valeur 2024: 203148 €
Valeur 2023: 182250 €
Variation: 11.47% vs 2023
Code Hiérarchique: 1.2.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2024.0,,Chiffre d'affaire,1.2.,RECETTES ANNEXES,4,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2025
Contexte: Prévision
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.2.
Ligne analytique: RECETTES ANNEXES
Valeur annuelle: 171106 €
",LINE_CELL,Noisy,2025.0,Prévision,Chiffre d'affaire,1.2.,RECETTES ANNEXES,4,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: RECETTES ANNEXES
Année: 2025
Contexte utilisé: Prévision
Valeur 2025: 171106 €
Valeur 2024: 203148 €
Variation: -15.77% vs 2024
Code Hiérarchique: 1.2.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2025.0,,Chiffre d'affaire,1.2.,RECETTES ANNEXES,4,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2026
Contexte: Budget
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.2.
Ligne analytique: RECETTES ANNEXES
Valeur annuelle: 176470 €
",LINE_CELL,Noisy,2026.0,Budget,Chiffre d'affaire,1.2.,RECETTES ANNEXES,4,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: RECETTES ANNEXES
Année: 2026
Contexte utilisé: Budget
Valeur 2026: 176470 €
Valeur 2025: 171106 €
Variation: 3.13% vs 2025
Code Hiérarchique: 1.2.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2026.0,,Chiffre d'affaire,1.2.,RECETTES ANNEXES,4,,
"[TYPE: TREND_MULTI_YEAR]
Résidence: Noisy
Ligne: RECETTES ANNEXES
Années: [2024, 2025, 2026]
Contexte principal trouvé: Réel
Valeurs: 2024: 203148 €, 2025: 171106 €, 2026: 176470 €
Variation globale: -13.13% (2024→2026)
Code Hiérarchique: 1.2.
Groupe: Chiffre d'affaire
",TREND_MULTI_YEAR,Noisy,,,Chiffre d'affaire,1.2.,RECETTES ANNEXES,4,"[2024, 2025, 2026]",
"[TYPE: RECOMMENDATION]
Résidence: Noisy
Années examinées: [2024, 2025, 2026]
Variation détectée (extrait trend): -13.1%
Recommandations:
- Tendance négative → investiguer les causes (baisse du CA / hausse des charges). Prioriser les postes 'Energie' et 'Maintenance'.
",RECOMMENDATION,Noisy,,,,,,4,"[2024, 2025, 2026]","{'chunk_type': 'TREND_MULTI_YEAR', 'residence': 'Noisy', 'years': [2024, 2025, 2026], 'groupe': ""Chiffre d'affaire"", 'code_h': '1.2.', 'ligne': 'RECETTES ANNEXES', 'row_index': 4}"
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2022
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.2.2.
Ligne analytique: CA Frais locatif
Valeur annuelle: 24051 €
",LINE_CELL,Noisy,2022.0,Réel,Chiffre d'affaire,1.2.2.,CA Frais locatif,5,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Frais locatif
Année: 2022
Contexte utilisé: Réel
Valeur 2022: 24051 €
Valeur 2021: N/A
Variation: N/A
Code Hiérarchique: 1.2.2.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2022.0,,Chiffre d'affaire,1.2.2.,CA Frais locatif,5,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2023
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.2.2.
Ligne analytique: CA Frais locatif
Valeur annuelle: 31173 €
",LINE_CELL,Noisy,2023.0,Réel,Chiffre d'affaire,1.2.2.,CA Frais locatif,5,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Frais locatif
Année: 2023
Contexte utilisé: Réel
Valeur 2023: 31173 €
Valeur 2022: 24051 €
Variation: 29.61% vs 2022
Code Hiérarchique: 1.2.2.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2023.0,,Chiffre d'affaire,1.2.2.,CA Frais locatif,5,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2024
Contexte: Réel
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.2.2.
Ligne analytique: CA Frais locatif
Valeur annuelle: 26810 €
",LINE_CELL,Noisy,2024.0,Réel,Chiffre d'affaire,1.2.2.,CA Frais locatif,5,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Frais locatif
Année: 2024
Contexte utilisé: Réel
Valeur 2024: 26810 €
Valeur 2023: 31173 €
Variation: -14.00% vs 2023
Code Hiérarchique: 1.2.2.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2024.0,,Chiffre d'affaire,1.2.2.,CA Frais locatif,5,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2025
Contexte: Prévision
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.2.2.
Ligne analytique: CA Frais locatif
Valeur annuelle: 21597 €
",LINE_CELL,Noisy,2025.0,Prévision,Chiffre d'affaire,1.2.2.,CA Frais locatif,5,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Frais locatif
Année: 2025
Contexte utilisé: Prévision
Valeur 2025: 21597 €
Valeur 2024: 26810 €
Variation: -19.44% vs 2024
Code Hiérarchique: 1.2.2.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2025.0,,Chiffre d'affaire,1.2.2.,CA Frais locatif,5,,
"[TYPE: LINE_CELL]
Résidence: Noisy
Année: 2026
Contexte: Budget
Groupe: Chiffre d'affaire
Code Hiérarchique: 1.2.2.
Ligne analytique: CA Frais locatif
Valeur annuelle: 23420 €
",LINE_CELL,Noisy,2026.0,Budget,Chiffre d'affaire,1.2.2.,CA Frais locatif,5,,
"[TYPE: ANNUAL_SUMMARY]
Résidence: Noisy
Ligne: CA Frais locatif
Année: 2026
Contexte utilisé: Budget
Valeur 2026: 23420 €
Valeur 2025: 21597 €
Variation: 8.44% vs 2025
Code Hiérarchique: 1.2.2.
Groupe: Chiffre d'affaire
",ANNUAL_SUMMARY,Noisy,2026.0,,Chiffre d'affaire,1.2.2.,CA Frais locatif,5,,
"[TYPE: TREND_MULTI_YEAR]
Résidence: Noisy
Ligne: CA Frais locatif
Années: [2024, 2025, 2026]
Contexte principal trouvé: Réel
Valeurs: 2024: 26810 €, 2025: 21597 €, 2026: 23420 €
Variation globale: -12.64% (2024→2026)
Code Hiérarchique: 1.2.2.
Groupe: Chiffre d'affaire
",TREND_MULTI_YEAR,Noisy,,,Chiffre d'affaire,1.2.2.,CA Frais locatif,5,"[2024, 2025, 2026]",
"[TYPE: RECOMMENDATION]
Résidence: Noisy
Années examinées: [2024, 2025, 2026]
Variation détectée (extrait trend): -12.6%
Recommandations:
- Tendance négative → investiguer les causes (baisse du CA / hausse des charges). Prioriser les postes 'Energie' et 'Maintenance'.
",RECOMMENDATION,Noisy,,,,,,5,"[2024, 2025, 2026]","{'chunk_type': 'TREND_MULTI_YEAR', 'residence': 'Noisy', 'years': [2024, 2025, 2026], 'groupe': ""Chiffre d'affaire"", 'code_h': '1.2.2.', 'ligne': 'CA Frais locatif', 'row_index': 5}"
