,Residence,Colonnes,Annee,Mois,Nature de l'écriture,Contexte,Code_H,Ligne_Analytique,Groupe,Montant
26,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.1.6.,Personnel intérimaire,Charge,15321
27,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.1.8.,Frais Yser - Encadrement et commercial,Charge,1632
28,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.1.9.1.,Autres frais de personnel,Charge,0
29,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.12.,"LOCATIONS, HONORAIRES, SACEM ET TV",Charge,2056
30,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.12.3.,Honoraire contentieux Gestion,Charge,2056
31,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.12.3.2.,Honoraire - divers,Charge,2056
32,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.13.,DEPLACEMENT ET MISSION,Charge,212
33,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.14.,PUBLICITE,Charge,443
34,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.14.7.,Publicité Estudines,Charge,443
35,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.15.,Publicité Internet,Charge,480
36,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.16.,FOURNITURES ADMINISTRATIVES,Charge,75
37,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.16.3.,Frais bancaires (compte séparé),Charge,75
38,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.16.3.1.,Frais bancaires,Charge,75
39,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.17.,TELEPHONIE - INTERNET - INFORMATIQUE,Charge,0
40,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.17.2.,Internet (location de ligne),Charge,0
41,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.2.,IMPOTS et TAXES DIVERSES,Charge,591
42,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.2.2.,Taxe d'ordures ménagères,Charge,591
43,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.2.3.,Taxe foncière / Taxe d'habitation,Charge,0
44,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.2.3.1.,Taxe foncière / taxe d'habitation,Charge,0
45,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.2.3.2.,Taxe foncière Syndic,Charge,0
46,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.2.4.1.,Autres impôts et taxes,Charge,0
47,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.3.,ENERGIE,Charge,79506
48,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.3.1.,EAU : (RSG-REA-YSER-LFP),Charge,68773
49,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.3.2.,EDF : (RSG-REA-LFP),Charge,3762
50,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.3.2.1.,EDF - Parties communes : Réel (50200000),Charge,2936
51,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.3.2.2.,EDF - Parties Privatives,Charge,438
52,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.3.2.3.,EDF - Ascenseurs,Charge,388
53,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.3.3.,Chauffage - Gaz,Charge,6972
54,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.,CONTRATS DE MAINTENANCE,Charge,6616
55,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.1.,Contrat de maintenance LFP,Charge,4262
56,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.1.13.,Maintenance - toiture,Charge,0
57,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.1.2.,Maintenance - chauffage,Charge,0
58,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.1.3.,Maintenance - ascenseurs,Charge,1205
59,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.1.5.,Maintenance - parkings,Charge,0
60,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.1.6.,Maintenance - espaces verts,Charge,0
61,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.1.7.,Maintenance - sécurité,Charge,0
62,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.1.8.,Maintenance - VMC,Charge,0
63,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.1.9.,Maintenance - contrats divers,Charge,3057
64,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.2.,Autres charges de copropriété,Charge,91
65,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.2.1.,Autres charges - 51000000,Charge,0
66,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.2.4.,Autres charges - téléphone ascenseurs,Charge,91
67,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.3.,Contrat maintenance (Hors Syndic),Charge,2262
68,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.4.4.,ASSURANCE : (Immeuble para hotelier multirisque),Charge,0
69,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.6.,REMISE EN ETAT PARTIES PRIVATIVES,Charge,4482
70,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.6.1.,Réparations Parties Privatives,Charge,4482
71,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.8.,LINGE ET BLANCHISSAGE,Charge,330
72,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.8.1.,Location de linge + nettoyage de linge,Charge,330
73,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.9.,FOURNITURES D'EXPLOITATION,Charge,1124
74,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,2.9.1.,Produits et matériel d'entretien,Charge,1124
75,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,3.,MARGE 1,Marge,73243
76,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.,Total 1,Charge,22768
77,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.1.,AMORTISSEMENT et CREDIT BAIL,Charge,2815
78,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.1.2.,Amortissement matériel,Charge,3
79,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.1.2.1.,Amortissement - Téléphonie,Charge,3
80,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.1.3.,Amortissement Mobilier Travaux,Charge,2811
81,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.1.3.3.,Mobilier - Amortissement,Charge,2811
82,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.2.,LOYERS REVERSES PROPRIETAIRES,Charge,0
83,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.2.1.,Loyers reversés aux propriétaires,Charge,0
84,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.3.,GROS TRAVAUX,Charge,943
85,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.3.1.,Gros travaux Parties Privatives,Charge,943
86,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.4.,INCIDENCE T.V.A,Charge,17513
87,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.4.1.,Incidence TVA (cc + prorata de gestion),Charge,17513
88,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.4.2.,Incidence TVA liée MDG et GARDIEN,Charge,0
89,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,5.5.,CET (ex Taxe Pro),Charge,1499
90,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,6.,MARGE 2,Marge,50474
91,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,8.,Total 2,Charge,20867
92,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,8.1.,PRESTATIONS INTERNES (Y/C Honoraires syndic),Charge,14059
93,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,8.2.,FRAIS DES SOCIETES,Charge,283
94,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,8.2.1.,Frais des sociétés RSG,Charge,762
95,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,8.2.7.,Incidence congés payés,Charge,-479
96,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,8.3.,HONORAIRES SYNDIC,Charge,6526
97,11000099 - Noisy,Budget 2025,2025.0,1.0,Mensuelle,B,9.,MARGE 3,Marge,29607
98,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.,RECETTES,Chiffre d'affaire,167132
99,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.1.,Loyers logements et parkings HT,Chiffre d'affaire,165703
100,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.1.1.,CA Locatif Estudines,Chiffre d'affaire,165101
101,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.1.4.,CA Locatif Parkings,Chiffre d'affaire,602
102,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.2.,RECETTES ANNEXES,Chiffre d'affaire,1429
103,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.2.12.,Charges de copro récupérables,Chiffre d'affaire,0
104,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.2.2.,CA Frais locatif,Chiffre d'affaire,1136
105,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.2.5.,CA Laverie-Ménage,Chiffre d'affaire,0
106,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.2.5.2.,Laverie,Chiffre d'affaire,0
107,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.2.8.,CA Divers,Chiffre d'affaire,293
108,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.3.,Commission Agence TO,Chiffre d'affaire,0
109,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.4.,IMPAYES,Chiffre d'affaire,0
110,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,1.4.1.,Impayés locataires,Chiffre d'affaire,0
111,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,10,% DES RECETTES TOTALES,Chiffre d'affaire,1
112,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,11.,Dotations aux amortissements (CAPEX),Chiffre d'affaire,2633
113,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,12.,EBITDA,Marge,-63926
114,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,14.,FREE CASH FLOW,Marge,-63926
115,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.,CHARGES D'IMMEUBLE DIRECTES,Charge,46156
116,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.1.,FRAIS DE PERSONNEL,Charge,13048
117,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.1.1.,Salaires,Charge,7451
118,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.1.10.,Prestataires sécurité gardiennage,Charge,95
119,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.1.10.1.,Prestataire sécurité gardiennage,Charge,95
120,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.1.11.,Nettoyage Parties Communes,Charge,0
121,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.1.12.,Nettoyage Parties Privatives,Charge,0
122,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.1.2.,Charges sur salaires,Charge,2104
123,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.1.3.,Prime,Charge,1749
124,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.1.6.,Personnel intérimaire,Charge,0
125,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.1.8.,Frais Yser - Encadrement et commercial,Charge,1647
126,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.1.9.1.,Autres frais de personnel,Charge,2
127,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.12.,"LOCATIONS, HONORAIRES, SACEM ET TV",Charge,0
128,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.12.3.,Honoraire contentieux Gestion,Charge,0
129,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.12.3.2.,Honoraire - divers,Charge,0
130,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.13.,DEPLACEMENT ET MISSION,Charge,206
131,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.14.,PUBLICITE,Charge,443
132,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.14.7.,Publicité Estudines,Charge,443
133,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.15.,Publicité Internet,Charge,480
134,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.16.,FOURNITURES ADMINISTRATIVES,Charge,75
135,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.16.3.,Frais bancaires (compte séparé),Charge,75
136,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.16.3.1.,Frais bancaires,Charge,75
137,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.17.,TELEPHONIE - INTERNET - INFORMATIQUE,Charge,205
138,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.17.2.,Internet (location de ligne),Charge,205
139,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.2.,IMPOTS et TAXES DIVERSES,Charge,624
140,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.2.2.,Taxe d'ordures ménagères,Charge,624
141,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.2.3.,Taxe foncière / Taxe d'habitation,Charge,0
142,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.2.3.1.,Taxe foncière / taxe d'habitation,Charge,0
143,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.2.3.2.,Taxe foncière Syndic,Charge,0
144,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.2.4.1.,Autres impôts et taxes,Charge,0
145,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.3.,ENERGIE,Charge,12925
146,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.3.1.,EAU : (RSG-REA-YSER-LFP),Charge,0
147,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.3.2.,EDF : (RSG-REA-LFP),Charge,3483
148,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.3.2.1.,EDF - Parties communes : Réel (50200000),Charge,2718
149,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.3.2.2.,EDF - Parties Privatives,Charge,406
150,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.3.2.3.,EDF - Ascenseurs,Charge,359
151,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.3.3.,Chauffage - Gaz,Charge,9442
152,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.,CONTRATS DE MAINTENANCE,Charge,17667
153,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.1.,Contrat de maintenance LFP,Charge,2950
154,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.1.13.,Maintenance - toiture,Charge,1545
155,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.1.2.,Maintenance - chauffage,Charge,0
156,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.1.3.,Maintenance - ascenseurs,Charge,0
157,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.1.5.,Maintenance - parkings,Charge,359
158,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.1.6.,Maintenance - espaces verts,Charge,0
159,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.1.7.,Maintenance - sécurité,Charge,1046
160,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.1.8.,Maintenance - VMC,Charge,0
161,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.1.9.,Maintenance - contrats divers,Charge,0
162,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.2.,Autres charges de copropriété,Charge,12455
163,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.2.1.,Autres charges - 51000000,Charge,12364
164,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.2.4.,Autres charges - téléphone ascenseurs,Charge,90
165,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.3.,Contrat maintenance (Hors Syndic),Charge,2262
166,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.4.4.,ASSURANCE : (Immeuble para hotelier multirisque),Charge,0
167,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.6.,REMISE EN ETAT PARTIES PRIVATIVES,Charge,483
168,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.6.1.,Réparations Parties Privatives,Charge,483
169,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.8.,LINGE ET BLANCHISSAGE,Charge,0
170,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.8.1.,Location de linge + nettoyage de linge,Charge,0
171,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.9.,FOURNITURES D'EXPLOITATION,Charge,0
172,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,2.9.1.,Produits et matériel d'entretien,Charge,0
173,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,3.,MARGE 1,Marge,120976
174,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.,Total 1,Charge,172370
175,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.1.,AMORTISSEMENT et CREDIT BAIL,Charge,2633
176,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.1.2.,Amortissement matériel,Charge,3
177,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.1.2.1.,Amortissement - Téléphonie,Charge,3
178,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.1.3.,Amortissement Mobilier Travaux,Charge,2630
179,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.1.3.3.,Mobilier - Amortissement,Charge,2630
180,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.2.,LOYERS REVERSES PROPRIETAIRES,Charge,159461
181,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.2.1.,Loyers reversés aux propriétaires,Charge,159461
182,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.3.,GROS TRAVAUX,Charge,943
183,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.3.1.,Gros travaux Parties Privatives,Charge,943
184,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.4.,INCIDENCE T.V.A,Charge,7944
185,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.4.1.,Incidence TVA (cc + prorata de gestion),Charge,7944
186,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.4.2.,Incidence TVA liée MDG et GARDIEN,Charge,0
187,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,5.5.,CET (ex Taxe Pro),Charge,1389
188,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,6.,MARGE 2,Marge,-51394
189,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,8.,Total 2,Charge,15166
190,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,8.1.,PRESTATIONS INTERNES (Y/C Honoraires syndic),Charge,14059
191,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,8.2.,FRAIS DES SOCIETES,Charge,1107
192,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,8.2.1.,Frais des sociétés RSG,Charge,762
193,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,8.2.7.,Incidence congés payés,Charge,345
194,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,8.3.,HONORAIRES SYNDIC,Charge,0
195,11000099 - Noisy,Budget 2025,2025.0,2.0,Mensuelle,B,9.,MARGE 3,Marge,-66560
196,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.,RECETTES,Chiffre d'affaire,170307
197,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.1.,Loyers logements et parkings HT,Chiffre d'affaire,165934
198,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.1.1.,CA Locatif Estudines,Chiffre d'affaire,165332
199,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.1.4.,CA Locatif Parkings,Chiffre d'affaire,602
200,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.2.,RECETTES ANNEXES,Chiffre d'affaire,4376
201,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.2.12.,Charges de copro récupérables,Chiffre d'affaire,0
202,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.2.2.,CA Frais locatif,Chiffre d'affaire,1577
203,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.2.5.,CA Laverie-Ménage,Chiffre d'affaire,2425
204,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.2.5.2.,Laverie,Chiffre d'affaire,2425
205,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.2.8.,CA Divers,Chiffre d'affaire,373
206,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.3.,Commission Agence TO,Chiffre d'affaire,-3
207,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.4.,IMPAYES,Chiffre d'affaire,0
208,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,1.4.1.,Impayés locataires,Chiffre d'affaire,0
209,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,10,% DES RECETTES TOTALES,Chiffre d'affaire,86
210,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,11.,Dotations aux amortissements (CAPEX),Chiffre d'affaire,2815
211,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,12.,EBITDA,Marge,12892
212,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,14.,FREE CASH FLOW,Marge,12892
213,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,2.,CHARGES D'IMMEUBLE DIRECTES,Charge,59723
214,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,2.1.,FRAIS DE PERSONNEL,Charge,22417
215,11000099 - Noisy,Budget 2025,2025.0,3.0,Mensuelle,B,2.1.1.,Salaires,Charge,7606
